Num,ID,Created_at,Fav,retweets,text,media1,media2,media3,media4,compund,neg,neu,pos
912,951119162742583296,2018-01-10 15:50:53,2048,401,All smiles at practice #2 https://t.co/kkVddViRL8,http://pbs.twimg.com/media/DTMNvLaXUAE3SO5.jpg,http://pbs.twimg.com/media/DTMNvLjX0AADoq3.jpg,http://pbs.twimg.com/media/DTMNvLIWsAAzqcm.jpg,http://pbs.twimg.com/media/DTMNvLcX0AAUX--.jpg,0.4767,0,0.617,0.38299999999999995
913,951114063903412225,2018-01-10 15:30:38,2221,1532,Jayson Tatum continues to impress #NBAVote https://t.co/v9zPmS4utj,https://video.twimg.com/ext_tw_video/951113969368002560/pu/vid/1280x720/jTTuIE-Id81I0BkW.mp4,N/A,N/A,N/A,0.4404,0,0.674,0.326
914,951088527223246848,2018-01-10 13:49:09,1736,235,"Mook vs Tatum, who ya got? https://t.co/8QLXUKLRVI",https://video.twimg.com/ext_tw_video/951088271207161858/pu/vid/720x1280/VvHC2LrWOJpjhTba.mp4,N/A,N/A,N/A,0,0,1,0
915,951077939524841474,2018-01-10 13:07:05,2912,333,"Kyrie says last night was great because he and the team were able to bond even stronger over a dinner, and that that process never ends.",N/A,N/A,N/A,N/A,0.7717,0,0.774,0.226
916,951076692491108352,2018-01-10 13:02:08,538,71,"?We?ve done some things that are positive after we lost Gordon (Hayward),? Stevens says of the team?s adjustments, ?and we?ve done some things that we?ll throw out.?",N/A,N/A,N/A,N/A,0.3182,0.07400000000000001,0.809,0.11699999999999999
917,951076206669107201,2018-01-10 13:00:12,700,75,"Brad Stevens says that other than dinner with the team last night, he has done ?literally nothing? here in London outside of practice. 

Wild guess: he?s been busy game-planning.",N/A,N/A,N/A,N/A,0,0,1,0
918,951072626067296262,2018-01-10 12:45:58,668,111,Bigs are back to work https://t.co/Fw8Sa2ErG6,https://video.twimg.com/ext_tw_video/951072235321745408/pu/vid/1280x720/9F_OzK_xjy8QaxMa.mp4,N/A,N/A,N/A,0,0,1,0
919,951032220424261632,2018-01-10 10:05:25,801,134,The leprechaun is loose ?? https://t.co/sV2NvTcZsh,https://video.twimg.com/ext_tw_video/951031285757116416/pu/vid/1280x720/-_SojTnaHPprd_at.mp4,N/A,N/A,N/A,-0.3182,0.315,0.685,0
920,950800911399612416,2018-01-09 18:46:16,502,99,We're back to practice today and the guys are ready for a big week ahead of them here in London. https://t.co/ErkRhySfbq,https://video.twimg.com/amplify_video/950800616888197120/vid/1280x720/CkzcrhJTaKWE8h8u.mp4,N/A,N/A,N/A,0.3612,0,0.884,0.11599999999999999
921,950791806794588160,2018-01-09 18:10:06,395,69,"The team was supposed to be exhausted today at practice after crossing the Atlantic on Monday, but per usual, they're not complying with expectations: https://t.co/Te6Clif4mp",N/A,N/A,N/A,N/A,-0.1901,0.068,0.932,0
922,950785642409156608,2018-01-09 17:45:36,3259,2921,Make Kyrie Irving the East's first captain #NBAVote https://t.co/AK4NTHUvSO,https://video.twimg.com/ext_tw_video/950785578492145664/pu/vid/1280x720/k6Mu4RnezAqgf0nV.mp4,N/A,N/A,N/A,0,0,1,0
923,950765912382164993,2018-01-09 16:27:12,2121,384,First practice in London ? https://t.co/Lol3UO6Xf8,http://pbs.twimg.com/media/DTHMh9RXkAAp6OL.jpg,http://pbs.twimg.com/media/DTHMh9RWsAAZ7xf.jpg,http://pbs.twimg.com/media/DTHMh9VXUAEG1zM.jpg,http://pbs.twimg.com/media/DTHMh9QW4AAO-6e.jpg,0,0,1,0
924,950747613330051072,2018-01-09 15:14:29,0,245,"RT @NBAUK: The @Celtics are coming! Which Boston superstar are you most looking forward to seeing this Thursday? ?? #NBALondon

#Celtics ht“",https://video.twimg.com/amplify_video/950570027438297088/vid/720x720/N32jFTzz2jywb2K7.mp4,N/A,N/A,N/A,0,0,1,0
925,950734289376874497,2018-01-09 14:21:33,2584,332,"Kyrie Irving says everything is ?new? to him with the C?s, from workload to philosophies, but adds, ?I?ve had a great time doing that here with the guys and with this organization.?",N/A,N/A,N/A,N/A,0.7684,0,0.8420000000000001,0.158
926,950733543621177344,2018-01-09 14:18:35,939,168,"Cameras come out, T-Ro?s putting on a show https://t.co/lQ0JI5YAy4",https://video.twimg.com/ext_tw_video/950733451308818432/pu/vid/1280x720/PpZE5icVywQMCl6c.mp4,N/A,N/A,N/A,0,0,1,0
927,950732647181049860,2018-01-09 14:15:01,436,59,"Aron Baynes says the first night of sleep during a big time zone switch is always a challenge, so C?s didn?t sleep much last night, but he expects them to catch up on rest tonight and tomorrow.",N/A,N/A,N/A,N/A,0.0387,0,0.9670000000000001,0.033
