old_movie_id,movie_title,director_name,main_actor,genre_id
390,Survivor ,James McTeigue,Milla Jovovich,2
391,Dark Water ,Walter Salles,Dougray Scott,8
393,King Kong ,Peter Jackson,Naomi Watts,2
394,Hollow Man ,Paul Verhoeven,Greg Grunberg,12
395,Joyeux Noel ,Christian Carion,Gary Lewis,1
396,Herbie Fully Loaded ,Angela Robinson,Scoot McNairy,13
397,Exam ,Stuart Hazeldine,Colin Salmon,5
398,Raising Victor Vargas ,Peter Sollett,Victor Rasuk,1
399,The Adventures of Huck Finn ,Stephen Sommers,Curtis Armstrong,1
400,Creepshow 2 ,Michael Gornick,George Kennedy,6
401,Treachery ,Travis Romero,Matthew Ziff,8
402,For Your Consideration ,Christopher Guest,John Michael Higgins,6
403,Gangster Squad ,Ruben Fleischer,Ryan Gosling,1
404,Shaun of the Dead ,Edgar Wright,Peter Serafinowicz,6
406,Wicker Park ,Paul McGuigan,Jessica Paré,8
407,Small Time Crooks ,Woody Allen,Woody Allen,6
408,The Faculty ,Robert Rodriguez,Jordana Brewster,5
409,Dr. Dolittle 2 ,Steve Carr,Raven-Symoné,11
410,Mama ,Andrés Muschietti,Javier Botet,11
411,Remember the Titans ,Boaz Yakin,Ryan Gosling,14
412,Get Over It ,Tommy O'Haver,Mila Kunis,4
413,Hatchet ,Adam Green,Joel David Moore,6
414,Jesse             ,,Eric Lloyd,6
415,Super 8 ,J.J. Abrams,Joel Courtney,8
416,Some Guy Who Kills People ,Jack Perez,Kevin Corrigan,8
417,Beyond the Lights ,Gina Prince-Bythewood,Minnie Driver,1
418,A Haunted House ,Michael Tiddes,Essence Atkins,11
419,Chain Reaction ,Andrew Davis,Keanu Reeves,1
420,Kids ,Larry Clark,Rosario Dawson,1
421,Dinner Rush ,Bob Giraldi,Danny Aiello,1
422,Made ,Jon Favreau,Jon Favreau,6
423,Only the Strong ,Sheldon Lettich,Antoni Corone,2
424,Superbabies: Baby Geniuses 2 ,Bob Clark,Scott Baio,6
425,South Park: Bigger Longer & Uncut ,Trey Parker,Minnie Driver,6
427,Crocodile Dundee ,Peter Faiman,Paul Hogan,3
429,Clear and Present Danger ,Phillip Noyce,Harrison Ford,1
430,Live Free or Die Hard ,Len Wiseman,Bruce Willis,2
431,The Boondock Saints II: All Saints Day ,Troy Duffy,Norman Reedus,10
