ID,Artist,User_ID,User_Name,Text,Created_Time,Favorites,Retweets,Followers,Friends,Location,Tags
661,Black Sabbath,User_ID: 882751657741869056,User_Name: FOLLOW @DNRStudiosCEO,Text: RT @Steve_W_Guitar: Bit of @BlackSabbath on Sky Arts. That’ll do just nicely! #music #metal #heavymetal #oldschool #blacksabbath #theend #l…,4/1/2018 18:12,0,3,6148,Friends: 2,Location: ,Tags: #music #metal #heavymetal #oldschool #blacksabbath #theend #l…
662,Black Sabbath,User_ID: 969021296620265472,User_Name: ReadySetMusic,Text: RT @Steve_W_Guitar: Bit of @BlackSabbath on Sky Arts. That’ll do just nicely! #music #metal #heavymetal #oldschool #blacksabbath #theend #l…,4/1/2018 18:12,0,3,653,Friends: 69,Location: ,Tags: #music #metal #heavymetal #oldschool #blacksabbath #theend #l…
663,Black Sabbath,User_ID: 1535126490,User_Name: Radio 7 - Montréal,Text: Actuellement en onde: #BlackSabbath - #Paranoid sur Radio 7 Montreal,4/1/2018 18:00,0,0,80,Friends: 0,"Location: Blainville, Québec",Tags: #BlackSabbath #Paranoid$7
664,Black Sabbath,User_ID: 878264376712671232,User_Name: Lucie'grat,Text: Mon nouveau cover :D https://t.co/nMRVESrLr6 BLACK SABBATH PARANOID LIKE AND SHARE :)) #BLACKSABBATH #rock #metal #HardRockGirls,4/1/2018 17:53,0,1,55,Friends: 210,Location: Enfers,Tags: #BLACKSABBATH #rock #metal #HardRockGirls
665,Black Sabbath,User_ID: 793468783264432133,User_Name: LARRYIRBY,Text: RT @JonnyRotten1714: @pureperfectove1 @_dopedaneille @DeadZombie_girl @WeedEssence @JuelzLovesKush @KaRaRacn75 @LAwmn99 @KarinLane12 @hojoj…,4/1/2018 17:48,0,1,6161,Friends: 6381,"Location: Boston, MA",Tags:
666,Black Sabbath,User_ID: 538112608,User_Name: André of Astora,Text: #BlackSabbath https://t.co/uInAKzuAmN,4/1/2018 17:27,0,0,286,Friends: 437,Location: Bogotá,Tags: #BlackSabbath
667,Black Sabbath,User_ID: 709908013335773184,User_Name: Metallichat Podcast,"Text: RT @sabbathbloodypc: In 1971, Music critics called it ""a dim-witted, amoral exploitation"" I call it the greatest album of all time! Master…",4/1/2018 17:10,0,3,116,Friends: 123,"Location: Kansas City, MO",Tags:
668,Black Sabbath,User_ID: 234182416,User_Name: humpbowlmike,Text: SABBATH. #sabbathbloodysabbath #warship #blacksabbath #ozzyosbourne #geezerbutler #tonyiommi… https://t.co/Jts2acTHY7,4/1/2018 17:06,0,0,73,Friends: 341,Location: The Humpbowl,Tags: #sabbathbloodysabbath #warship #blacksabbath #ozzyosbourne #geezerbutler #tonyiommi…
669,Black Sabbath,User_ID: 234182416,User_Name: humpbowlmike,Text: SABBATH WARSHIP. #sabbathbloodysabbath #listentoblacksabbath #blacksabbath #heavymetal… https://t.co/qxDzPMbBql,4/1/2018 17:00,0,0,73,Friends: 341,Location: The Humpbowl,Tags: #sabbathbloodysabbath #listentoblacksabbath #blacksabbath #heavymetal…
670,Black Sabbath,User_ID: 4718186312,User_Name: 🎭🎬JonnyRotten617🎬🎭,Text: @pureperfectove1 @_dopedaneille @DeadZombie_girl @WeedEssence @JuelzLovesKush @KaRaRacn75 @LAwmn99 @KarinLane12… https://t.co/aRuB9ZZIB8,4/1/2018 16:27,4,1,4442,Friends: 4866,Location: Boston ,Tags:
