ID,name,full_name,club,club_logo
208421,Sa煤l,Sa煤l 铆guez Escl谩pez,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
207863,Felipe,Felipe Augusto de Almeida Monteiro,FC Porto,https://cdn.sofifa.org/18/teams/236.png
207664,C. Bacca,Carlos Bacca,Villarreal CF,https://cdn.sofifa.org/18/teams/483.png
207471,F. V谩zquez,Franco V谩zquez,Sevilla FC,https://cdn.sofifa.org/18/teams/481.png
207410,M. Kovai,Mateo Kovai,Real Madrid CF,https://cdn.sofifa.org/18/teams/243.png
206652,Sergio Rico,Sergio Rico Gonz谩lez,Sevilla FC,https://cdn.sofifa.org/18/teams/481.png
206545,Manu Trigueros,Manuel Trigueros Mu帽oz,Villarreal CF,https://cdn.sofifa.org/18/teams/483.png
205452,A. R眉diger,Antonio R眉diger,Chelsea,https://cdn.sofifa.org/18/teams/5.png
204970,F. Thauvin,Florian Thauvin,Olympique de Marseille,https://cdn.sofifa.org/18/teams/219.png
204639,S. Savi,Stefan Savi,Atl茅tico Madrid,https://cdn.sofifa.org/18/teams/240.png
204525,I帽igo Mart铆nez,I帽igo Mart铆nez Berridi,Real Sociedad,https://cdn.sofifa.org/18/teams/457.png
204277,Roque Mesa,Roque Mesa Quevedo,Swansea City,https://cdn.sofifa.org/18/teams/1960.png
203551,A. Florenzi,Alessandro Florenzi,Roma,https://cdn.sofifa.org/18/teams/52.png
203483,D. Klaassen,Davy Klaassen,Everton,https://cdn.sofifa.org/18/teams/7.png
202857,K. Bellarabi,Karim Bellarabi,Bayer 04 Leverkusen,https://cdn.sofifa.org/18/teams/32.png
202652,R. Sterling,Raheem Sterling,Manchester City,https://cdn.sofifa.org/18/teams/10.png
202651,Suso,Jes煤s Joaqu铆n Fern谩ndez S谩ez,Milan,https://cdn.sofifa.org/18/teams/47.png
202477,Deulofeu,Gerard Deulofeu L谩zaro,FC Barcelona,https://cdn.sofifa.org/18/teams/241.png
202335,E. Dier,Eric Dier,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
201862,M. Rojo,Marcos Rojo,Manchester United,https://cdn.sofifa.org/18/teams/11.png
200949,Lucas,Lucas Rodrigues M. Silva,Paris Saint-Germain,https://cdn.sofifa.org/18/teams/73.png
200104,H. Son,Heung Min Son,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
199845,F. Acerbi,Francesco Acerbi,Sassuolo,https://cdn.sofifa.org/18/teams/111974.png
199503,G. Xhaka,Granit Xhaka,Arsenal,https://cdn.sofifa.org/18/teams/1.png
198164,Jonathan Viera,Jonathan Viera Ramos,UD Las Palmas,https://cdn.sofifa.org/18/teams/472.png
197965,Pizzi,Luis Miguel Afonso Fernandes,SL Benfica,https://cdn.sofifa.org/18/teams/234.png
195093,Willian Jos茅,Willian Jos茅 da Silva,Real Sociedad,https://cdn.sofifa.org/18/teams/457.png
194794,A. Yarmolenko,Andriy Yarmolenko,Borussia Dortmund,https://cdn.sofifa.org/18/teams/22.png
193698,O. Baumann,Oliver Baumann,TSG 1899 Hoffenheim,https://cdn.sofifa.org/18/teams/10029.png
193532,G. Medel,Gary Medel,Beikta JK,https://cdn.sofifa.org/18/teams/327.png
193469,V铆ctor Ru铆z,V铆ctor Ru铆z Torre,Villarreal CF,https://cdn.sofifa.org/18/teams/483.png
193348,X. Shaqiri,Xherdan Shaqiri,Stoke City,https://cdn.sofifa.org/18/teams/1806.png
193082,J. Cuadrado,Juan Cuadrado,Juventus,https://cdn.sofifa.org/18/teams/45.png
190483,Douglas Costa,Douglas Costa de Souza,Juventus,https://cdn.sofifa.org/18/teams/45.png
190456,N. Clyne,Nathaniel Clyne,Liverpool,https://cdn.sofifa.org/18/teams/9.png
189560,Iborra,Vicente Iborra de la Fuente,Leicester City,https://cdn.sofifa.org/18/teams/95.png
188942,V. Wanyama,Victor Wanyama,Tottenham Hotspur,https://cdn.sofifa.org/18/teams/18.png
188803,Taison,Taison Barcellos Freda,Shakhtar Donetsk,https://cdn.sofifa.org/18/teams/101059.png
187754,Marlos,Marlos Romero Bonfim,Shakhtar Donetsk,https://cdn.sofifa.org/18/teams/101059.png
187072,L. Stindl,Lars Stindl,Borussia M枚nchengladbach,https://cdn.sofifa.org/18/teams/23.png
186627,M. Balotelli,Mario Balotelli,OGC Nice,https://cdn.sofifa.org/18/teams/72.png
186561,A. Ramsey,Aaron Ramsey,Arsenal,https://cdn.sofifa.org/18/teams/1.png
186153,W. Szczsny,Wojciech Szczsny,Juventus,https://cdn.sofifa.org/18/teams/45.png
184484,G. Sigur冒sson,Gylfi Sigur冒sson,Everton,https://cdn.sofifa.org/18/teams/7.png
184267,Y. Brahimi,Yacine Brahimi,FC Porto,https://cdn.sofifa.org/18/teams/236.png
184200,M. Arnautovi,Marko Arnautovi,West Ham United,https://cdn.sofifa.org/18/teams/19.png
183711,J. Henderson,Jordan Henderson,Liverpool,https://cdn.sofifa.org/18/teams/9.png
183574,M. Kruse,Max Kruse,SV Werder Bremen,https://cdn.sofifa.org/18/teams/38.png
183497,O. Karnezis,Orestis Karnezis,Watford,https://cdn.sofifa.org/18/teams/1795.png
183376,L. Fejsa,Ljubomir Fejsa,SL Benfica,https://cdn.sofifa.org/18/teams/234.png
182494,F. Muslera,Fernando Muslera,Galatasaray SK,https://cdn.sofifa.org/18/teams/325.png
181786,V. orluka,Vedran orluka,Lokomotiv Moscow,https://cdn.sofifa.org/18/teams/100765.png
181291,G. Wijnaldum,Georginio Wijnaldum,Liverpool,https://cdn.sofifa.org/18/teams/9.png
179847,F. Fazio,Federico Fazio,Roma,https://cdn.sofifa.org/18/teams/52.png
178509,O. Giroud,Olivier Giroud,Arsenal,https://cdn.sofifa.org/18/teams/1.png
178372,B. Ivanovi,Branislav Ivanovi,Zenit St. Petersburg,https://cdn.sofifa.org/18/teams/100769.png
